task_id,user_id,server_id,generation_time,completion_time,latency
4,4,0,0,34,34
12,12,0,0,34,34
13,13,0,0,34,34
15,15,0,0,34,34
19,19,0,0,34,34
31,31,0,0,34,34
36,36,0,0,34,34
37,37,0,0,34,34
2,2,1,0,34,34
5,5,1,0,34,34
6,6,1,0,34,34
22,22,1,0,34,34
26,26,1,0,34,34
28,28,1,0,34,34
33,33,1,0,34,34
34,34,1,0,34,34
0,0,2,0,34,34
7,7,2,0,34,34
9,9,2,0,34,34
11,11,2,0,34,34
14,14,2,0,34,34
29,29,2,0,34,34
43,43,2,0,34,34
48,48,2,0,34,34
10,10,3,0,34,34
16,16,3,0,34,34
17,17,3,0,34,34
18,18,3,0,34,34
21,21,3,0,34,34
23,23,3,0,34,34
24,24,3,0,34,34
25,25,3,0,34,34
1,1,4,0,35,35
3,3,4,0,35,35
8,8,4,0,35,35
20,20,4,0,35,35
30,30,4,0,35,35
59,12,4,35,53,18
66,19,4,35,53,18
69,23,4,35,53,18
77,34,4,35,53,18
40,40,0,0,69,69
47,47,0,0,69,69
49,49,0,0,69,69
61,14,0,35,69,34
64,17,0,35,69,34
67,21,0,35,69,34
79,37,0,35,69,34
35,35,1,0,69,69
41,41,1,0,69,69
45,45,1,0,69,69
46,46,1,0,69,69
50,0,1,35,69,34
54,6,1,35,69,34
55,7,1,35,69,34
63,16,1,35,69,34
27,27,3,0,69,69
32,32,3,0,69,69
38,38,3,0,69,69
39,39,3,0,69,69
42,42,3,0,69,69
44,44,3,0,69,69
52,4,3,35,69,34
56,9,3,35,69,34
51,2,2,35,70,35
53,5,2,35,70,35
57,10,2,35,70,35
70,24,2,35,70,35
80,43,2,35,70,35
81,48,2,35,70,35
82,1,2,36,70,34
83,3,2,36,70,34
87,12,4,54,72,18
89,23,4,54,72,18
90,34,4,54,72,18
88,19,0,54,104,50
91,0,0,70,104,34
96,14,0,70,104,34
99,21,0,70,104,34
104,38,0,70,104,34
109,44,0,70,104,34
113,49,0,70,104,34
72,26,1,35,104,69
73,28,1,35,104,69
76,33,1,35,104,69
86,30,1,36,104,68
92,4,1,70,104,34
93,6,1,70,104,34
94,7,1,70,104,34
95,9,1,70,104,34
58,11,3,35,104,69
60,13,3,35,104,69
62,15,3,35,104,69
65,18,3,35,104,69
68,22,3,35,104,69
71,25,3,35,104,69
74,29,3,35,104,69
75,31,3,35,104,69
84,8,2,36,105,69
85,20,2,36,105,69
114,1,2,71,105,34
116,5,2,71,105,34
117,10,2,71,105,34
118,24,2,71,105,34
120,48,2,71,105,34
97,16,4,70,107,37
102,35,4,70,107,37
107,41,4,70,107,37
108,42,4,70,107,37
115,2,4,71,107,36
119,43,4,71,107,36
121,23,4,93,116,23
129,9,4,105,116,11
123,34,2,94,123,29
141,29,2,105,123,18
148,1,2,106,123,17
149,10,2,106,123,17
153,5,4,118,136,18
154,9,4,118,136,18
156,23,4,118,136,18
158,16,4,119,136,17
122,12,0,94,139,45
126,4,0,105,139,34
128,7,0,105,139,34
135,19,0,105,139,34
138,25,0,105,139,34
146,44,0,105,139,34
98,17,1,70,139,69
100,27,1,70,139,69
101,32,1,70,139,69
103,37,1,70,139,69
105,39,1,70,139,69
110,45,1,70,139,69
111,46,1,70,139,69
112,47,1,70,139,69
78,36,3,35,139,104
106,40,3,70,139,69
133,15,3,105,139,34
134,18,3,105,139,34
137,22,3,105,139,34
145,38,3,105,139,34
160,1,4,124,154,30
161,8,4,124,154,30
170,23,4,137,154,17
151,35,2,116,158,42
152,2,2,117,158,41
155,20,2,118,158,40
157,48,2,118,158,40
162,10,2,124,158,34
164,34,2,124,158,34
165,42,2,124,158,34
166,43,2,124,158,34
175,17,4,140,172,32
183,39,4,140,172,32
188,32,4,153,172,19
167,5,0,137,174,37
168,9,0,137,174,37
171,4,0,140,174,34
173,12,0,140,174,34
174,15,0,140,174,34
180,27,0,140,174,34
184,40,0,140,174,34
124,3,1,96,174,78
125,0,1,105,174,69
127,6,1,105,174,69
130,11,1,105,174,69
131,13,1,105,174,69
132,14,1,105,174,69
136,21,1,105,174,69
139,26,1,105,174,69
150,24,3,106,174,68
159,41,3,123,174,51
169,16,3,137,174,37
172,7,3,140,174,34
177,19,3,140,174,34
178,22,3,140,174,34
179,25,3,140,174,34
182,38,3,140,174,34
190,8,2,155,194,39
