task_id,user_id,server_id,generation_time,completion_time,latency
3,3,0,0,34,34
4,4,0,0,34,34
8,8,0,0,34,34
12,13,0,0,34,34
14,15,0,0,34,34
17,18,0,0,34,34
19,20,0,0,34,34
20,21,0,0,34,34
1,1,2,0,34,34
2,2,2,0,34,34
5,5,2,0,34,34
6,6,2,0,34,34
9,9,2,0,34,34
18,19,2,0,34,34
22,23,2,0,34,34
23,24,2,0,34,34
0,0,1,0,35,35
7,7,1,0,35,35
13,14,1,0,35,35
31,32,1,0,35,35
32,33,1,0,35,35
39,40,1,0,35,35
48,49,1,0,35,35
11,12,3,0,35,35
15,16,3,0,35,35
16,17,3,0,35,35
21,22,3,0,35,35
37,38,3,0,35,35
42,43,3,0,35,35
44,45,3,0,35,35
10,10,4,0,35,35
26,27,4,0,35,35
27,28,4,0,35,35
36,37,4,0,35,35
40,41,4,0,35,35
46,47,4,0,35,35
25,26,0,0,69,69
33,34,0,0,69,69
34,35,0,0,69,69
38,39,0,0,69,69
41,42,0,0,69,69
43,44,0,0,69,69
45,46,0,0,69,69
47,48,0,0,69,69
24,25,2,0,69,69
28,29,2,0,69,69
29,30,2,0,69,69
30,31,2,0,69,69
35,36,2,0,69,69
55,6,2,35,69,34
58,13,2,35,69,34
59,15,2,35,69,34
50,1,1,35,70,35
67,7,1,36,70,34
68,10,1,36,70,34
72,17,1,36,70,34
73,22,1,36,70,34
77,33,1,36,70,34
82,43,1,36,70,34
85,49,1,36,70,34
51,2,3,35,70,35
54,5,3,35,70,35
56,8,3,35,70,35
61,19,3,35,70,35
63,21,3,35,70,35
69,12,3,36,70,34
71,16,3,36,70,34
74,27,3,36,70,34
49,11,4,22,70,48
52,3,4,35,70,35
53,4,4,35,70,35
62,20,4,35,70,35
64,23,4,35,70,35
66,0,4,36,70,34
70,14,4,36,70,34
75,28,4,36,70,34
57,9,0,35,104,69
60,18,0,35,104,69
87,13,0,70,104,34
88,15,0,70,104,34
89,25,0,70,104,34
90,26,0,70,104,34
92,31,0,70,104,34
93,34,0,70,104,34
91,30,1,70,105,35
95,36,1,70,105,35
99,46,1,70,105,35
100,48,1,70,105,35
101,0,1,71,105,34
111,12,1,71,105,34
116,20,1,71,105,34
118,22,1,71,105,34
65,24,2,35,105,70
86,6,2,70,105,35
94,35,2,70,105,35
104,3,2,71,105,34
107,7,2,71,105,34
110,11,2,71,105,34
114,17,2,71,105,34
123,33,2,71,105,34
76,32,3,36,105,69
79,38,3,36,105,69
81,41,3,36,105,69
84,47,3,36,105,69
103,2,3,71,105,34
106,5,3,71,105,34
108,8,3,71,105,34
109,10,3,71,105,34
78,37,4,36,105,69
80,40,4,36,105,69
83,45,4,36,105,69
97,42,4,70,105,35
98,44,4,70,105,35
102,1,4,71,105,34
105,4,4,71,105,34
112,14,4,71,105,34
96,39,0,70,122,52
127,13,0,105,122,17
132,34,0,105,122,17
168,39,0,123,128,5
128,15,1,105,140,35
129,25,1,105,140,35
130,26,1,105,140,35
133,0,1,106,140,34
134,1,1,106,140,34
137,4,1,106,140,34
143,11,1,106,140,34
144,12,1,106,140,34
115,19,3,71,140,69
117,21,3,71,140,69
119,23,3,71,140,69
120,27,3,71,140,69
121,28,3,71,140,69
124,43,3,71,140,69
125,49,3,71,140,69
142,10,3,106,140,34
113,16,4,71,140,69
122,29,4,71,140,69
126,9,4,105,140,35
131,31,4,105,140,35
136,3,4,106,140,34
138,5,4,106,140,34
139,6,4,106,140,34
140,7,4,106,140,34
135,2,2,106,141,35
147,18,2,106,141,35
148,20,2,106,141,35
152,32,2,106,141,35
153,33,2,106,141,35
161,44,2,106,141,35
156,37,1,106,175,69
169,39,1,129,175,46
