task_id,user_id,server_id,generation_time,completion_time,latency
1,1,1,0,34,34
4,4,1,0,34,34
10,10,1,0,34,34
16,16,1,0,34,34
17,17,1,0,34,34
22,22,1,0,34,34
23,23,1,0,34,34
29,29,1,0,34,34
0,0,2,0,34,34
7,7,2,0,34,34
12,12,2,0,34,34
13,13,2,0,34,34
24,24,2,0,34,34
25,25,2,0,34,34
26,26,2,0,34,34
30,30,2,0,34,34
8,8,0,0,35,35
9,9,0,0,35,35
14,14,0,0,35,35
15,15,0,0,35,35
18,18,0,0,35,35
19,19,0,0,35,35
33,33,0,0,35,35
3,3,3,0,35,35
6,6,3,0,35,35
20,20,3,0,35,35
21,21,3,0,35,35
27,27,3,0,35,35
28,28,3,0,35,35
2,2,4,0,35,35
5,5,4,0,35,35
11,11,4,0,35,35
31,31,4,0,35,35
34,34,4,0,35,35
54,6,0,36,54,18
59,15,0,36,54,18
61,19,0,36,54,18
66,31,0,36,54,18
32,32,2,0,69,69
38,7,2,35,69,34
40,12,2,35,69,34
43,17,2,35,69,34
44,22,2,35,69,34
49,29,2,35,69,34
50,30,2,35,69,34
35,0,1,35,70,35
37,4,1,35,70,35
41,13,1,35,70,35
42,16,1,35,70,35
47,25,1,35,70,35
48,26,1,35,70,35
51,2,1,36,70,34
55,8,1,36,70,34
36,1,3,35,70,35
39,10,3,35,70,35
53,5,3,36,70,34
62,20,3,36,70,34
63,21,3,36,70,34
45,23,4,35,70,35
46,24,4,35,70,35
52,3,4,36,70,34
57,11,4,36,70,34
64,27,4,36,70,34
65,28,4,36,70,34
68,34,4,36,70,34
69,6,0,55,73,18
70,15,0,55,73,18
71,19,0,55,73,18
72,31,2,55,87,32
76,22,2,70,87,17
78,30,2,70,87,17
79,32,2,70,87,17
73,7,3,70,88,18
80,0,3,71,88,17
89,13,3,71,88,17
93,23,3,71,88,17
87,10,0,71,91,20
91,20,0,71,91,20
95,25,0,71,91,20
56,9,1,36,105,69
58,14,1,36,105,69
60,18,1,36,105,69
67,33,1,36,105,69
74,12,1,70,105,35
77,29,1,70,105,35
81,1,1,71,105,34
82,2,1,71,105,34
75,17,4,70,105,35
83,3,4,71,105,34
84,4,4,71,105,34
88,11,4,71,105,34
90,16,4,71,105,34
92,21,4,71,105,34
94,24,4,71,105,34
96,26,4,71,105,34
103,22,2,88,123,35
104,30,2,88,123,35
105,31,2,88,123,35
106,32,2,88,123,35
107,0,2,89,123,34
110,23,2,89,123,34
100,15,3,80,123,43
101,6,3,81,123,42
102,19,3,82,123,41
108,7,3,89,123,34
109,13,3,89,123,34
119,11,0,106,124,18
122,16,0,106,124,18
123,17,0,106,124,18
124,18,0,106,124,18
136,22,2,124,133,9
137,23,2,124,133,9
85,5,1,71,140,69
86,8,1,71,140,69
97,27,1,71,140,69
98,28,1,71,140,69
112,20,1,93,140,47
113,10,1,94,140,46
114,1,1,106,140,34
125,21,1,106,140,34
99,34,4,71,140,69
115,2,4,106,140,34
116,3,4,106,140,34
117,4,4,106,140,34
118,9,4,106,140,34
120,12,4,106,140,34
121,14,4,106,140,34
127,26,4,106,140,34
130,0,0,124,142,18
140,32,0,124,142,18
141,11,0,125,142,17
142,16,0,125,142,17
144,17,2,129,142,13
146,23,2,134,142,8
163,0,0,143,152,9
168,32,0,143,152,9
