task_id,user_id,server_id,generation_time,completion_time,latency
1,1,0,0,9,9
4,4,0,0,9,9
36,1,0,12,18,6
0,0,2,0,34,34
5,5,2,0,34,34
11,11,2,0,34,34
13,13,2,0,34,34
14,14,2,0,34,34
18,18,2,0,34,34
20,20,2,0,34,34
25,25,2,0,34,34
2,2,1,0,35,35
8,8,1,0,35,35
15,15,1,0,35,35
17,17,1,0,35,35
19,19,1,0,35,35
21,21,1,0,35,35
27,27,1,0,35,35
3,3,3,0,35,35
7,7,3,0,35,35
9,9,3,0,35,35
10,10,3,0,35,35
12,12,3,0,35,35
26,26,3,0,35,35
29,29,3,0,35,35
6,6,4,0,35,35
16,16,4,0,35,35
22,22,4,0,35,35
23,23,4,0,35,35
24,24,4,0,35,35
30,30,4,0,35,35
34,34,4,0,35,35
41,13,3,35,53,18
43,18,3,35,53,18
49,8,3,36,53,17
67,8,3,54,63,9
68,13,3,54,63,9
28,28,2,0,69,69
31,31,2,0,69,69
32,32,2,0,69,69
33,33,2,0,69,69
42,14,2,35,69,34
38,0,0,35,70,35
39,5,0,35,70,35
50,9,0,36,70,34
52,12,0,36,70,34
59,23,0,36,70,34
61,25,0,36,70,34
37,1,1,23,70,47
46,3,1,36,70,34
51,10,1,36,70,34
53,15,1,36,70,34
54,16,1,36,70,34
57,21,1,36,70,34
58,22,1,36,70,34
64,29,1,36,70,34
35,4,4,10,70,60
40,11,4,35,70,35
44,20,4,35,70,35
45,2,4,36,70,34
47,6,4,36,70,34
48,7,4,36,70,34
55,17,4,36,70,34
56,19,4,36,70,34
71,13,2,64,78,14
74,32,2,70,78,8
83,7,2,71,87,16
85,10,2,71,87,16
102,10,2,89,94,5
103,10,2,95,102,7
75,33,0,70,105,35
84,9,0,71,105,34
86,11,0,71,105,34
88,15,0,71,105,34
91,19,0,71,105,34
65,30,1,36,105,69
69,18,1,54,105,51
77,1,1,71,105,34
80,4,1,71,105,34
90,17,1,71,105,34
93,21,1,71,105,34
96,25,1,71,105,34
98,29,1,71,105,34
73,31,3,70,105,35
81,5,3,71,105,34
82,6,3,71,105,34
94,22,3,71,105,34
97,28,3,71,105,34
60,24,4,36,105,69
62,26,4,36,105,69
63,27,4,36,105,69
66,34,4,36,105,69
70,8,4,64,105,41
72,14,4,70,105,35
76,0,4,71,105,34
78,2,4,71,105,34
110,6,2,106,124,18
117,18,2,106,124,18
122,25,2,106,124,18
106,1,0,106,140,34
111,8,0,106,140,34
112,9,0,106,140,34
119,21,0,106,140,34
123,26,0,106,140,34
124,27,0,106,140,34
128,31,0,106,140,34
130,34,0,106,140,34
101,32,1,88,140,52
108,4,1,106,140,34
109,5,1,106,140,34
113,11,1,106,140,34
121,24,1,106,140,34
99,13,3,81,140,59
104,10,3,103,140,37
105,0,3,106,140,34
114,14,3,106,140,34
115,15,3,106,140,34
116,17,3,106,140,34
118,19,3,106,140,34
126,29,3,106,140,34
79,3,4,71,140,69
87,12,4,71,140,69
89,16,4,71,140,69
92,20,4,71,140,69
95,23,4,71,140,69
100,7,4,88,140,52
107,2,4,106,140,34
120,22,4,106,140,34
131,6,0,125,175,50
143,10,0,141,175,34
148,15,0,141,175,34
152,20,0,141,175,34
158,27,0,141,175,34
138,4,1,141,175,34
140,7,1,141,175,34
141,8,1,141,175,34
144,11,1,141,175,34
146,13,1,141,175,34
151,19,1,141,175,34
156,24,1,141,175,34
160,31,1,141,175,34
127,30,3,106,175,69
129,33,3,106,175,69
132,18,3,125,175,50
133,25,3,125,175,50
134,0,3,141,175,34
136,2,3,141,175,34
137,3,3,141,175,34
139,5,3,141,175,34
135,1,2,141,176,35
142,9,2,141,176,35
145,12,2,141,176,35
147,14,2,141,176,35
154,22,2,141,176,35
162,34,2,141,176,35
125,28,4,106,176,70
149,16,4,141,176,35
150,17,4,141,176,35
155,23,4,141,176,35
161,32,4,141,176,35
171,10,2,176,194,18
172,11,2,176,194,18
178,24,2,176,194,18
163,0,4,176,194,18
174,15,4,176,194,18
180,27,4,176,194,18
181,30,4,176,194,18
153,21,3,141,210,69
157,26,3,141,210,69
159,29,3,141,210,69
165,3,3,176,210,34
173,13,3,176,210,34
176,19,3,176,210,34
177,20,3,176,210,34
166,4,0,176,211,35
167,5,0,176,211,35
182,31,0,176,211,35
185,12,0,177,211,34
186,14,0,177,211,34
187,16,0,177,211,34
188,17,0,177,211,34
190,28,0,177,211,34
164,2,1,176,211,35
168,6,1,176,211,35
169,7,1,176,211,35
170,8,1,176,211,35
175,18,1,176,211,35
179,25,1,176,211,35
183,33,1,176,211,35
184,1,1,177,211,34
196,10,2,195,213,18
197,11,2,195,213,18
198,15,2,195,213,18
195,0,4,195,213,18
200,27,4,195,213,18
201,30,4,196,213,17
192,23,3,178,228,50
204,20,3,211,228,17
207,29,3,211,228,17
203,19,0,211,229,18
218,16,0,212,229,17
223,31,0,212,229,17
224,33,0,212,229,17
189,22,1,177,246,69
191,9,1,178,246,68
193,32,1,178,246,68
194,34,1,178,246,68
199,24,1,195,246,51
205,21,1,211,246,35
215,12,1,212,246,34
220,18,3,212,246,34
230,15,3,216,246,30
232,23,3,229,246,17
228,10,0,215,247,32
233,29,0,229,247,18
234,16,0,230,247,17
235,19,0,230,247,17
202,3,2,211,248,37
209,2,2,212,248,36
211,5,2,212,248,36
217,14,2,212,248,36
219,17,2,212,248,36
222,28,2,212,248,36
206,26,4,211,248,37
208,1,4,212,248,36
210,4,4,212,248,36
212,6,4,212,248,36
213,7,4,212,248,36
214,8,4,212,248,36
216,13,4,212,248,36
221,25,4,212,248,36
240,15,0,247,265,18
241,18,0,247,265,18
249,16,0,248,265,17
250,19,0,248,265,17
242,21,3,247,265,18
245,24,3,247,265,18
251,29,3,248,265,17
227,0,1,215,281,66
238,9,1,247,281,34
239,12,1,247,281,34
243,22,1,247,281,34
246,32,1,247,281,34
229,30,2,215,283,68
244,23,2,247,283,36
247,34,2,247,283,36
257,7,2,249,283,34
258,8,2,249,283,34
260,17,2,249,283,34
261,25,2,249,283,34
225,11,4,214,283,69
226,27,4,214,283,69
231,20,4,229,283,54
236,33,4,230,283,53
237,31,4,231,283,52
248,10,4,248,283,35
252,1,4,249,283,34
253,2,4,249,283,34
273,0,3,282,291,9
275,12,3,282,291,9
259,14,1,249,299,50
270,21,1,266,299,33
272,29,1,266,299,33
264,6,0,250,300,50
265,13,0,252,300,48
267,16,0,266,300,34
268,18,0,266,300,34
269,19,0,266,300,34
271,24,0,266,300,34
266,15,2,266,301,35
281,8,2,284,301,17
289,30,2,284,301,17
291,33,2,284,301,17
287,25,1,284,317,33
288,27,1,284,317,33
294,0,1,300,317,17
254,3,4,249,318,69
255,4,4,249,318,69
256,5,4,249,318,69
262,26,4,249,318,69
263,28,4,249,318,69
276,22,4,282,318,36
277,32,4,282,318,36
282,10,4,284,318,34
278,1,3,284,326,42
279,2,3,284,326,42
280,7,3,284,326,42
284,17,3,284,326,42
