task_id,user_id,server_id,generation_time,completion_time,latency
4,4,0,0,34,34
11,11,0,0,34,34
12,12,0,0,34,34
14,14,0,0,34,34
16,16,0,0,34,34
18,18,0,0,34,34
19,19,0,0,34,34
24,24,0,0,34,34
5,5,1,0,34,34
6,6,1,0,34,34
8,8,1,0,34,34
13,13,1,0,34,34
15,15,1,0,34,34
17,17,1,0,34,34
21,21,1,0,34,34
27,27,1,0,34,34
1,1,4,0,34,34
2,2,4,0,34,34
9,9,4,0,34,34
10,10,4,0,34,34
20,20,4,0,34,34
23,23,4,0,34,34
33,33,4,0,34,34
34,34,4,0,34,34
0,0,2,0,35,35
3,3,2,0,35,35
22,22,2,0,35,35
29,29,2,0,35,35
30,30,2,0,35,35
7,7,3,0,35,35
25,25,3,0,35,35
26,26,3,0,35,35
28,28,3,0,35,35
32,32,3,0,35,35
45,13,3,35,53,18
48,16,3,35,53,18
62,22,3,36,53,17
69,13,3,54,64,10
70,16,3,54,64,10
31,31,1,0,69,69
37,4,1,35,69,34
39,6,1,35,69,34
40,8,1,35,69,34
41,9,1,35,69,34
46,14,1,35,69,34
53,21,1,35,69,34
54,23,1,35,69,34
38,5,0,35,70,35
43,11,0,35,70,35
44,12,0,35,70,35
47,15,0,35,70,35
51,19,0,35,70,35
63,25,0,36,70,34
68,32,0,36,70,34
35,1,2,35,70,35
36,2,2,35,70,35
49,17,2,35,70,35
52,20,2,35,70,35
60,3,2,36,70,34
42,10,4,35,70,35
50,18,4,35,70,35
55,24,4,35,70,35
56,27,4,35,70,35
57,33,4,35,70,35
58,34,4,35,70,35
59,0,4,36,70,34
61,7,4,36,70,34
97,25,3,71,76,5
72,13,1,65,87,22
73,16,1,65,87,22
80,23,1,70,87,17
96,24,1,71,96,25
103,13,1,88,96,8
107,24,3,97,102,5
106,13,1,97,103,6
77,9,0,70,105,35
81,31,0,70,105,35
83,1,0,71,105,34
87,7,0,71,105,34
88,10,0,71,105,34
89,11,0,71,105,34
95,20,0,71,105,34
100,33,0,71,105,34
71,22,2,54,105,51
76,8,2,70,105,35
84,2,2,71,105,34
85,3,2,71,105,34
86,5,2,71,105,34
90,12,2,71,105,34
92,17,2,71,105,34
93,18,2,71,105,34
64,26,4,36,105,69
65,28,4,36,105,69
66,29,4,36,105,69
67,30,4,36,105,69
74,4,4,70,105,35
75,6,4,70,105,35
78,14,4,70,105,35
79,21,4,70,105,35
109,13,1,104,109,5
112,3,1,106,127,21
113,4,1,106,127,21
121,12,1,106,127,21
122,14,1,106,127,21
136,4,1,128,133,5
104,16,0,88,140,52
108,24,0,103,140,37
116,7,0,106,140,34
119,10,0,106,140,34
123,17,0,106,140,34
124,18,0,106,140,34
94,19,2,71,140,69
102,25,2,81,140,59
105,23,2,88,140,52
115,6,2,106,140,34
117,8,2,106,140,34
127,22,2,106,140,34
129,28,2,106,140,34
130,29,2,106,140,34
82,0,4,71,140,69
91,15,4,71,140,69
98,27,4,71,140,69
99,32,4,71,140,69
101,34,4,71,140,69
110,1,4,106,140,34
118,9,4,106,140,34
120,11,4,106,140,34
111,2,3,106,141,35
114,5,3,106,141,35
125,20,3,106,141,35
126,21,3,106,141,35
133,33,3,106,141,35
139,4,1,137,143,6
162,2,3,142,151,9
165,21,3,142,151,9
168,2,3,152,157,5
170,2,3,158,163,5
171,2,3,165,170,5
134,13,0,118,175,57
138,14,0,128,175,47
142,6,0,141,175,34
144,8,0,141,175,34
149,16,0,141,175,34
151,18,0,141,175,34
154,23,0,141,175,34
155,24,0,141,175,34
131,30,2,106,175,69
132,31,2,106,175,69
135,3,2,128,175,47
147,11,2,141,175,34
148,15,2,141,175,34
152,19,2,141,175,34
157,27,2,141,175,34
158,28,2,141,175,34
128,26,4,106,175,69
137,12,4,128,175,47
140,0,4,141,175,34
141,1,4,141,175,34
145,9,4,141,175,34
146,10,4,141,175,34
161,34,4,141,175,34
143,7,1,141,178,37
150,17,1,141,178,37
153,22,1,141,178,37
156,25,1,141,178,37
163,5,1,142,178,36
164,20,1,142,178,36
166,33,1,142,178,36
167,4,1,144,178,34
176,6,3,176,185,9
182,13,3,176,185,9
203,22,3,183,190,7
204,6,3,191,200,9
205,13,3,191,200,9
207,6,3,201,206,5
159,29,0,141,210,69
173,0,0,176,210,34
174,1,0,176,210,34
178,9,0,176,210,34
180,11,0,176,210,34
183,14,0,176,210,34
186,18,0,176,210,34
189,24,0,176,210,34
160,32,2,141,210,69
177,8,2,176,210,34
181,12,2,176,210,34
185,16,2,176,210,34
188,23,2,176,210,34
169,21,4,152,210,58
172,2,4,171,210,39
184,15,4,176,210,34
190,26,4,176,210,34
194,31,4,176,210,34
