task_id,user_id,server_id,generation_time,completion_time,latency
1,1,1,0,34,34
2,2,1,0,34,34
5,5,1,0,34,34
14,15,1,0,34,34
16,19,1,0,34,34
17,20,1,0,34,34
28,32,1,0,34,34
35,40,1,0,34,34
3,3,3,0,34,34
8,8,3,0,34,34
9,9,3,0,34,34
12,12,3,0,34,34
19,22,3,0,34,34
20,23,3,0,34,34
22,26,3,0,34,34
23,27,3,0,34,34
0,0,4,0,34,34
6,6,4,0,34,34
7,7,4,0,34,34
18,21,4,0,34,34
21,24,4,0,34,34
24,28,4,0,34,34
30,34,4,0,34,34
37,42,4,0,34,34
11,11,0,0,35,35
15,17,0,0,35,35
25,29,0,0,35,35
26,30,0,0,35,35
33,38,0,0,35,35
34,39,0,0,35,35
36,41,0,0,35,35
4,4,2,0,35,35
10,10,2,0,35,35
13,14,2,0,35,35
27,31,2,0,35,35
29,33,2,0,35,35
31,35,2,0,35,35
38,44,1,0,52,52
41,18,1,18,52,34
61,26,1,35,52,17
62,27,1,35,52,17
32,36,3,0,69,69
40,37,3,17,69,52
43,13,3,19,69,50
45,0,3,35,69,34
46,1,3,35,69,34
47,2,3,35,69,34
50,6,3,35,69,34
52,8,3,35,69,34
44,43,4,19,69,50
48,3,4,35,69,34
49,5,4,35,69,34
63,28,4,35,69,34
64,32,4,35,69,34
51,7,0,35,70,35
54,15,0,35,70,35
55,19,0,35,70,35
60,24,0,35,70,35
67,42,0,35,70,35
68,10,0,36,70,34
70,30,0,36,70,34
71,35,0,36,70,34
39,16,2,17,70,53
42,25,2,18,70,52
53,12,2,35,70,35
56,20,2,35,70,35
57,21,2,35,70,35
65,34,2,35,70,35
72,38,2,36,70,34
69,14,1,36,87,51
76,31,1,37,87,50
79,41,1,37,87,50
80,17,1,38,87,49
82,18,1,53,87,34
77,33,4,37,87,50
78,39,4,37,87,50
81,11,4,39,87,48
90,5,4,70,87,17
58,22,3,35,104,69
59,23,3,35,104,69
66,40,3,35,104,69
73,4,3,37,104,67
75,29,3,37,104,67
87,1,3,70,104,34
97,37,3,70,104,34
83,26,0,53,105,52
84,27,0,53,105,52
85,44,0,53,105,52
91,6,0,70,105,35
93,13,0,70,105,35
96,36,0,70,105,35
98,43,0,70,105,35
101,19,0,71,105,34
74,9,2,37,105,68
88,2,2,70,105,35
89,3,2,70,105,35
94,28,2,70,105,35
95,32,2,70,105,35
104,35,2,71,105,34
86,0,1,70,122,52
92,8,1,70,122,52
100,16,1,71,122,51
