task_id,user_id,server_id,generation_time,completion_time,latency
3,5,3,0,34,34
8,10,3,0,34,34
11,13,3,0,34,34
14,16,3,0,34,34
15,17,3,0,34,34
18,20,3,0,34,34
22,24,3,0,34,34
32,39,3,0,34,34
0,0,4,0,34,34
2,4,4,0,34,34
5,7,4,0,34,34
20,22,4,0,34,34
21,23,4,0,34,34
24,26,4,0,34,34
25,27,4,0,34,34
26,28,4,0,34,34
19,21,1,0,35,35
27,29,1,0,35,35
28,30,1,0,35,35
33,40,1,0,35,35
36,43,1,0,35,35
1,2,0,0,36,36
4,6,0,0,36,36
13,15,0,0,36,36
16,18,0,0,36,36
17,19,0,0,36,36
31,38,0,0,36,36
6,8,2,0,38,38
7,9,2,0,38,38
9,11,2,0,38,38
10,12,2,0,38,38
12,14,2,0,38,38
23,25,2,0,38,38
34,41,2,0,38,38
29,34,4,0,69,69
30,37,4,0,69,69
35,42,4,0,69,69
39,1,4,18,69,51
47,5,4,35,69,34
54,22,4,35,69,34
56,24,4,35,69,34
60,39,4,35,69,34
40,3,0,19,71,52
48,7,0,35,71,36
49,10,0,35,71,36
70,19,0,37,71,34
71,38,0,37,71,34
41,31,1,19,71,52
42,32,1,19,71,52
46,4,1,35,71,36
57,26,1,35,71,36
58,27,1,35,71,36
59,28,1,35,71,36
62,29,1,36,71,35
66,2,1,37,71,34
37,36,3,1,71,70
38,44,3,16,71,55
44,35,3,19,71,52
50,13,3,35,71,36
51,16,3,35,71,36
63,30,3,36,71,35
65,43,3,36,71,35
67,6,3,37,71,34
43,33,2,19,77,58
45,0,2,35,77,42
52,17,2,35,77,42
53,20,2,35,77,42
55,23,2,35,77,42
61,21,2,36,77,41
69,18,2,37,77,40
80,5,2,70,96,26
83,34,2,70,96,26
101,31,2,72,96,24
117,34,2,97,102,5
64,40,4,36,104,68
73,14,4,53,104,51
74,8,4,56,104,48
77,11,4,58,104,46
86,42,4,70,104,34
76,25,0,57,106,49
88,3,0,72,106,34
89,4,0,72,106,34
90,6,0,72,106,34
94,16,0,72,106,34
97,27,0,72,106,34
100,30,0,72,106,34
79,1,1,70,106,36
81,22,1,70,106,36
82,24,1,70,106,36
85,39,1,70,106,36
92,10,1,72,106,34
99,29,1,72,106,34
103,35,1,72,106,34
68,15,3,37,106,69
72,9,3,52,106,54
75,12,3,57,106,49
78,41,3,58,106,48
84,37,3,70,106,36
87,2,3,72,106,34
95,19,3,72,106,34
98,28,3,72,106,34
123,42,2,105,110,5
112,0,0,89,141,52
122,40,0,105,141,36
127,4,0,107,141,34
131,12,0,107,141,34
134,19,0,107,141,34
136,24,0,107,141,34
139,29,0,107,141,34
141,35,0,107,141,34
108,18,1,87,141,54
110,21,1,88,141,53
111,33,1,88,141,53
113,17,1,89,141,52
115,5,1,97,141,44
119,8,1,105,141,36
126,3,1,107,141,34
128,6,1,107,141,34
102,32,3,72,141,69
104,36,3,72,141,69
105,38,3,72,141,69
106,43,3,72,141,69
107,44,3,72,141,69
114,23,3,90,141,51
116,31,3,97,141,44
118,34,3,103,141,38
91,7,4,72,142,70
93,13,4,72,142,70
96,26,4,72,142,70
109,20,4,87,142,55
125,2,4,107,142,35
135,22,4,107,142,35
124,1,2,107,153,46
129,9,2,107,153,46
137,25,2,107,153,46
140,30,2,107,153,46
143,39,2,107,153,46
145,27,2,113,153,40
147,0,4,142,160,18
153,12,4,142,160,18
169,22,4,143,160,17
130,10,1,107,176,69
138,28,1,107,176,69
149,4,1,142,176,34
151,6,1,142,176,34
156,21,1,142,176,34
158,24,1,142,176,34
159,29,1,142,176,34
160,31,1,142,176,34
120,11,3,105,176,71
121,14,3,105,176,71
132,15,3,107,176,69
133,16,3,107,176,69
146,42,3,128,176,48
157,23,3,142,176,34
161,32,3,142,176,34
165,40,3,142,176,34
173,1,4,154,178,24
174,9,4,154,178,24
177,39,4,154,178,24
142,37,0,107,180,73
144,41,0,107,180,73
148,3,0,142,180,38
154,18,0,142,180,38
167,2,0,143,180,37
150,5,2,142,189,47
152,8,2,142,189,47
155,19,2,142,189,47
162,33,2,142,189,47
163,34,2,142,189,47
168,20,2,143,189,46
175,25,2,154,189,35
179,26,2,155,189,34
164,35,1,142,211,69
166,44,1,142,211,69
170,38,1,143,211,68
176,30,1,154,211,57
183,0,1,163,211,48
186,4,1,177,211,34
192,23,1,177,211,34
194,29,1,177,211,34
171,17,3,145,211,66
172,43,3,146,211,65
184,36,3,170,211,41
185,7,3,172,211,39
187,6,3,177,211,34
189,15,3,177,211,34
196,32,3,177,211,34
188,10,4,177,214,37
197,40,4,177,214,37
199,11,4,178,214,36
201,9,4,179,214,35
203,14,4,180,214,34
204,28,4,180,214,34
178,13,0,155,217,62
181,12,0,161,217,56
190,16,0,177,217,40
191,21,0,177,217,40
193,24,0,177,217,40
198,42,0,177,217,40
180,27,2,155,230,75
182,22,2,161,230,69
200,1,2,179,230,51
202,39,2,179,230,51
206,2,2,186,230,44
210,26,2,190,230,40
208,8,0,190,237,47
218,0,0,212,237,25
235,28,0,215,237,22
237,16,0,219,237,18
241,13,0,226,246,20
242,44,0,227,246,19
195,31,1,177,246,69
211,5,1,191,246,55
213,33,1,191,246,55
225,29,1,212,246,34
228,35,1,212,246,34
229,36,1,212,246,34
207,3,3,187,246,59
209,25,3,190,246,56
212,19,3,191,246,55
215,20,3,194,246,52
219,4,3,212,246,34
222,15,3,212,246,34
223,17,3,212,246,34
224,23,3,212,246,34
205,18,4,183,249,66
214,34,4,192,249,57
217,41,4,211,249,38
221,7,4,212,249,37
227,32,4,212,249,37
230,43,4,214,249,35
231,9,4,215,249,34
232,10,4,215,249,34
267,35,0,247,265,18
268,36,0,247,265,18
269,44,0,247,265,18
216,37,2,211,270,59
220,6,2,212,270,58
233,11,2,215,270,55
238,21,2,222,270,48
246,2,2,231,270,39
278,34,0,263,275,12
281,44,0,266,275,9
257,13,2,247,280,33
273,10,2,260,280,20
239,24,1,222,281,59
243,12,1,228,281,53
244,38,1,228,281,53
250,27,1,232,281,49
251,0,1,238,281,43
252,8,1,238,281,43
253,16,1,238,281,43
261,20,1,247,281,34
226,30,3,212,281,69
236,40,3,215,281,66
247,26,3,231,281,50
248,39,3,231,281,50
249,22,3,232,281,49
256,5,3,247,281,34
259,17,3,247,281,34
265,31,3,247,281,34
234,14,4,215,284,69
240,42,4,223,284,61
245,1,4,231,284,53
254,28,4,238,284,46
255,4,4,247,284,37
258,15,4,247,284,37
260,19,4,247,284,37
262,23,4,247,284,37
