task_id,user_id,server_id,generation_time,completion_time,latency
1,1,1,0,34,34
5,5,1,0,34,34
6,6,1,0,34,34
9,9,1,0,34,34
12,13,1,0,34,34
13,14,1,0,34,34
28,30,1,0,34,34
30,32,1,0,34,34
0,0,4,0,34,34
4,4,4,0,34,34
8,8,4,0,34,34
10,10,4,0,34,34
14,15,4,0,34,34
16,17,4,0,34,34
23,25,4,0,34,34
29,31,4,0,34,34
3,3,3,0,42,42
11,11,3,0,42,42
15,16,3,0,42,42
18,19,3,0,42,42
21,22,3,0,42,42
32,12,3,6,42,36
33,33,3,7,42,35
34,23,3,8,42,34
37,4,1,35,48,13
45,15,1,35,48,13
2,2,0,0,69,69
7,7,0,0,69,69
19,20,0,0,69,69
22,24,0,0,69,69
25,27,0,0,69,69
36,1,0,35,69,34
41,9,0,35,69,34
49,31,0,35,69,34
17,18,2,0,69,69
20,21,2,0,69,69
24,26,2,0,69,69
26,28,2,0,69,69
27,29,2,0,69,69
40,8,2,35,69,34
43,13,2,35,69,34
50,32,2,35,69,34
52,11,2,43,87,44
54,16,2,43,87,44
72,27,2,70,87,17
74,29,2,70,87,17
51,3,1,43,104,61
53,12,1,43,104,61
56,22,1,43,104,61
60,15,1,49,104,55
61,1,1,70,104,34
64,8,1,70,104,34
67,18,1,70,104,34
76,32,1,70,104,34
38,5,3,35,104,69
44,14,3,35,104,69
46,17,3,35,104,69
48,30,3,35,104,69
66,13,3,70,104,34
68,20,3,70,104,34
69,21,3,70,104,34
70,24,3,70,104,34
31,34,4,0,104,104
35,0,4,35,104,69
39,6,4,35,104,69
42,10,4,35,104,69
47,25,4,35,104,69
58,33,4,43,104,61
63,7,4,70,104,34
65,9,4,70,104,34
80,29,2,90,108,18
84,6,2,105,119,14
104,1,2,106,119,13
55,19,0,43,139,96
57,23,0,43,139,96
59,4,0,49,139,90
62,2,0,70,139,69
75,31,0,70,139,69
79,27,0,88,139,51
95,20,0,105,139,34
97,22,0,105,139,34
71,26,4,70,139,69
73,28,4,70,139,69
81,0,4,105,139,34
83,5,4,105,139,34
85,7,4,105,139,34
86,8,4,105,139,34
87,9,4,105,139,34
89,12,4,105,139,34
77,11,1,88,174,86
82,3,1,105,174,69
92,15,1,105,174,69
96,21,1,105,174,69
98,24,1,105,174,69
112,7,1,140,174,34
116,19,1,140,174,34
118,22,1,140,174,34
78,16,3,88,174,86
88,10,3,105,174,69
94,18,3,105,174,69
101,32,3,105,174,69
103,34,3,105,174,69
106,1,3,120,174,54
110,4,3,140,174,34
114,9,3,140,174,34
120,26,3,140,192,52
