task_id,user_id,server_id,generation_time,completion_time,latency
0,0,0,0,34,34
3,3,0,0,34,34
12,12,0,0,34,34
16,16,0,0,34,34
19,19,0,0,34,34
21,23,0,0,34,34
24,26,0,0,34,34
30,32,0,0,34,34
6,6,2,0,34,34
10,10,2,0,34,34
23,25,2,0,34,34
27,29,2,0,34,34
28,30,2,0,34,34
31,33,2,0,34,34
34,36,2,0,34,34
37,39,2,0,34,34
4,4,3,0,34,34
5,5,3,0,34,34
13,13,3,0,34,34
14,14,3,0,34,34
17,17,3,0,34,34
20,21,3,0,34,34
32,34,3,0,34,34
33,35,3,0,34,34
1,1,4,0,34,34
2,2,4,0,34,34
8,8,4,0,34,34
11,11,4,0,34,34
18,18,4,0,34,34
22,24,4,0,34,34
25,27,4,0,34,34
26,28,4,0,34,34
40,43,0,0,69,69
50,5,0,35,69,34
55,12,0,35,69,34
62,21,0,35,69,34
63,23,0,35,69,34
69,29,0,35,69,34
70,30,0,35,69,34
75,36,0,35,69,34
7,7,1,0,69,69
9,9,1,0,69,69
15,15,1,0,69,69
41,44,1,0,69,69
42,20,1,16,69,53
43,22,1,17,69,52
48,3,1,35,69,34
51,6,1,35,69,34
38,41,2,0,69,69
39,42,2,0,69,69
44,40,2,18,69,51
45,0,2,35,69,34
46,1,2,35,69,34
47,2,2,35,69,34
65,25,2,35,69,34
67,27,2,35,69,34
35,37,3,0,69,69
49,4,3,35,69,34
52,8,3,35,69,34
53,10,3,35,69,34
57,14,3,35,69,34
68,28,3,35,69,34
72,33,3,35,69,34
74,35,3,35,69,34
29,31,4,0,69,69
36,38,4,0,69,69
56,13,4,35,69,34
60,18,4,35,69,34
66,26,4,35,69,34
71,32,4,35,69,34
76,39,0,35,104,69
78,1,0,70,104,34
82,5,0,70,104,34
91,15,0,70,104,34
93,20,0,70,104,34
97,26,0,70,104,34
100,29,0,70,104,34
105,35,0,70,104,34
54,11,1,35,104,69
58,16,1,35,104,69
59,17,1,35,104,69
61,19,1,35,104,69
64,24,1,35,104,69
79,2,1,70,104,34
81,4,1,70,104,34
84,7,1,70,104,34
83,6,3,70,104,34
85,8,3,70,104,34
87,10,3,70,104,34
96,25,3,70,104,34
108,38,3,70,104,34
111,42,3,70,104,34
112,43,3,70,104,34
113,44,3,70,104,34
88,12,1,70,139,69
89,13,1,70,139,69
103,32,1,70,139,69
104,33,1,70,139,69
107,37,1,70,139,69
109,40,1,70,139,69
115,1,1,105,139,34
123,11,1,105,139,34
73,34,2,35,139,104
77,0,2,70,139,69
80,3,2,70,139,69
92,18,2,70,139,69
94,22,2,70,139,69
102,31,2,70,139,69
106,36,2,70,139,69
122,10,2,105,139,34
86,9,4,70,139,69
90,14,4,70,139,69
95,23,4,70,139,69
98,27,4,70,139,69
99,28,4,70,139,69
101,30,4,70,139,69
114,21,4,73,139,66
117,4,4,105,139,34
116,2,3,105,145,40
119,6,3,105,145,40
126,17,3,105,145,40
132,29,3,105,145,40
133,35,3,105,145,40
110,41,0,70,158,88
120,7,0,105,158,53
121,8,0,105,158,53
131,26,0,105,158,53
136,42,0,105,158,53
118,5,4,105,174,69
125,16,4,105,174,69
130,25,4,105,174,69
134,38,4,105,174,69
135,39,4,105,174,69
137,43,4,105,174,69
142,4,4,140,174,34
149,21,4,140,174,34
139,0,0,140,193,53
144,11,0,140,193,53
