task_id,user_id,server_id,generation_time,completion_time,latency
0,1,2,0,34,34
6,7,2,0,34,34
9,10,2,0,34,34
11,12,2,0,34,34
14,15,2,0,34,34
19,21,2,0,34,34
23,26,2,0,34,34
30,33,2,0,34,34
2,3,4,0,34,34
3,4,4,0,34,34
5,6,4,0,34,34
10,11,4,0,34,34
15,16,4,0,34,34
18,20,4,0,34,34
21,24,4,0,34,34
24,27,4,0,34,34
4,5,0,0,35,35
7,8,0,0,35,35
20,23,0,0,35,35
33,36,0,0,35,35
37,40,0,0,35,35
1,2,1,0,35,35
16,17,1,0,35,35
22,25,1,0,35,35
25,28,1,0,35,35
26,29,1,0,35,35
32,35,1,0,35,35
41,43,1,1,35,34
8,9,3,0,35,35
12,13,3,0,35,35
13,14,3,0,35,35
17,19,3,0,35,35
29,32,3,0,35,35
36,39,3,0,35,35
35,38,2,0,69,69
38,41,2,0,69,69
45,3,2,35,69,34
47,7,2,35,69,34
50,12,2,35,69,34
53,20,2,35,69,34
57,27,2,35,69,34
58,33,2,35,69,34
44,22,0,17,70,53
49,11,0,35,70,35
61,4,0,36,70,34
65,13,0,36,70,34
67,17,0,36,70,34
42,0,3,14,70,56
43,18,3,15,70,55
46,6,3,35,70,35
52,16,3,35,70,35
54,21,3,35,70,35
56,26,3,35,70,35
60,2,3,36,70,34
62,5,3,36,70,34
27,30,4,0,70,70
28,31,4,0,70,70
31,34,4,0,70,70
34,37,4,0,70,70
39,42,4,0,70,70
40,44,4,0,70,70
59,1,4,36,70,34
75,36,4,36,70,34
48,10,1,35,72,37
51,15,1,35,72,37
55,24,1,35,72,37
72,29,1,36,72,36
74,35,1,36,72,36
96,17,1,71,81,10
108,10,1,73,81,8
77,40,2,36,87,51
79,7,2,70,87,17
80,20,2,70,87,17
82,33,2,70,87,17
84,41,4,70,88,18
90,5,4,71,88,17
100,26,4,71,88,17
105,37,4,71,88,17
113,10,4,82,93,11
123,10,4,97,103,6
83,38,0,70,105,35
87,2,0,71,105,34
91,6,0,71,105,34
92,11,0,71,105,34
93,12,0,71,105,34
94,13,0,71,105,34
95,16,0,71,105,34
97,18,0,71,105,34
63,8,3,36,105,69
64,9,3,36,105,69
66,14,3,36,105,69
68,19,3,36,105,69
69,23,3,36,105,69
70,25,3,36,105,69
71,28,3,36,105,69
73,32,3,36,105,69
118,26,1,89,109,20
120,40,1,89,109,20
122,5,1,90,109,19
134,18,4,106,112,6
85,0,2,71,122,51
98,21,2,71,122,51
103,34,2,71,122,51
107,44,2,71,122,51
110,29,2,73,122,49
111,15,2,74,122,48
112,35,2,74,122,48
130,12,1,106,127,21
135,19,1,106,127,21
138,28,1,106,127,21
141,40,1,110,127,17
154,0,4,134,139,5
104,36,0,71,140,69
117,7,0,89,140,51
124,10,0,105,140,35
126,6,0,106,140,34
127,8,0,106,140,34
128,9,0,106,140,34
131,13,0,106,140,34
132,14,0,106,140,34
76,39,3,36,140,104
78,43,3,36,140,104
81,27,3,70,140,70
86,1,3,71,140,69
88,3,3,71,140,69
89,4,3,71,140,69
99,22,3,71,140,69
101,30,3,71,140,69
142,26,1,112,145,33
149,29,1,125,145,20
150,28,1,128,145,17
119,37,2,89,158,69
121,41,2,89,158,69
133,16,2,106,158,52
143,5,2,113,158,45
145,15,2,123,158,35
147,35,2,123,158,35
137,25,0,106,175,69
148,44,0,123,175,52
151,12,0,129,175,46
155,21,0,135,175,40
166,22,0,141,175,34
167,27,0,141,175,34
168,30,0,141,175,34
170,39,0,141,175,34
102,31,3,71,175,104
106,42,3,71,175,104
109,24,3,73,175,102
114,17,3,82,175,93
115,20,3,88,175,87
