task_id,user_id,server_id,generation_time,completion_time,latency
1,1,3,0,34,34
3,3,3,0,34,34
4,4,3,0,34,34
9,9,3,0,34,34
10,10,3,0,34,34
12,13,3,0,34,34
15,17,3,0,34,34
16,18,3,0,34,34
0,0,2,0,69,69
6,6,2,0,69,69
13,15,2,0,69,69
19,21,2,0,69,69
22,24,2,0,69,69
25,27,2,0,69,69
29,14,2,1,69,68
42,18,2,35,69,34
23,25,3,0,69,69
28,11,3,1,69,68
30,28,3,1,69,68
33,33,3,1,69,68
34,34,3,1,69,68
35,1,3,35,69,34
38,9,3,35,69,34
41,17,3,35,69,34
7,7,4,0,69,69
8,8,4,0,69,69
11,12,4,0,69,69
18,20,4,0,69,69
21,23,4,0,69,69
26,31,4,0,69,69
32,30,4,1,69,68
36,3,4,35,69,34
2,2,0,0,104,104
17,19,0,0,104,104
31,29,0,1,104,103
37,4,0,35,104,69
39,10,0,35,104,69
47,7,0,70,104,34
48,8,0,70,104,34
53,15,0,70,104,34
5,5,1,0,104,104
14,16,1,0,104,104
20,22,1,0,104,104
24,26,1,0,104,104
27,32,1,0,104,104
49,9,1,70,104,34
61,27,1,70,104,34
65,33,1,70,104,34
73,10,1,105,130,25
79,27,1,105,130,25
83,10,1,131,136,5
54,17,0,70,139,69
56,20,0,70,139,69
59,24,0,70,139,69
63,30,0,70,139,69
64,31,0,70,139,69
67,2,0,105,139,34
69,5,0,105,139,34
71,8,0,105,139,34
45,3,2,70,139,69
46,6,2,70,139,69
51,12,2,70,139,69
52,14,2,70,139,69
55,18,2,70,139,69
57,21,2,70,139,69
58,23,2,70,139,69
68,4,2,105,139,34
70,7,2,105,170,65
81,32,2,105,170,65
82,33,2,105,170,65
85,10,2,137,170,33
87,3,1,140,172,32
91,8,1,140,172,32
72,9,0,105,174,69
76,19,0,105,174,69
78,26,0,105,174,69
80,29,0,105,174,69
88,4,0,140,174,34
89,5,0,140,174,34
90,6,0,140,174,34
94,17,0,140,174,34
40,13,4,35,174,139
43,0,4,70,174,104
44,1,4,70,174,104
60,25,4,70,174,104
77,22,4,105,174,69
84,27,4,131,174,43
86,2,4,140,174,34
92,12,4,140,174,34
121,26,2,175,188,13
96,20,0,140,209,69
97,21,0,140,209,69
98,23,0,140,209,69
99,24,0,140,209,69
101,31,0,140,209,69
102,7,0,171,209,38
103,10,0,171,209,38
105,33,0,171,209,38
50,11,3,70,209,139
62,28,3,70,209,139
66,34,3,70,209,139
74,15,3,105,209,104
75,16,3,105,209,104
104,32,3,171,209,38
106,3,3,173,209,36
111,4,3,175,209,34
112,5,1,175,223,48
118,19,1,175,223,48
120,25,1,175,223,48
109,1,0,175,244,69
110,2,0,175,244,69
113,6,0,175,244,69
117,17,0,175,244,69
122,27,0,175,244,69
128,10,0,210,244,34
130,15,0,210,244,34
133,21,0,210,244,34
93,14,4,140,244,104
95,18,4,140,244,104
100,30,4,140,244,104
107,8,4,173,244,71
108,0,4,175,244,69
114,9,4,175,244,69
115,12,4,175,244,69
134,23,4,210,244,34
116,13,3,175,258,83
119,22,3,175,258,83
123,29,3,175,258,83
124,26,3,189,258,69
125,3,3,210,258,48
126,4,3,210,258,48
131,16,3,210,258,48
141,5,3,224,258,34
136,28,0,210,279,69
137,31,0,210,279,69
138,32,0,210,279,69
149,9,0,245,279,34
152,14,0,245,279,34
155,18,0,245,279,34
156,21,0,245,279,34
157,23,0,245,279,34
127,7,2,210,293,83
129,11,2,210,293,83
132,20,2,210,293,83
135,24,2,210,293,83
145,1,2,245,293,48
151,12,2,245,293,48
161,4,2,259,293,34
165,22,2,259,293,34
139,33,4,210,295,85
140,34,4,210,295,85
143,25,4,224,295,71
144,0,4,245,295,50
154,17,4,245,295,50
163,13,4,259,295,36
146,2,1,245,314,69
150,10,1,245,314,69
153,15,1,245,314,69
158,27,1,245,314,69
160,3,1,259,314,55
162,5,1,259,314,55
164,16,1,259,314,55
168,9,1,280,314,34
159,30,0,245,349,104
167,29,0,259,349,90
173,28,0,280,349,69
175,32,0,280,349,69
178,7,0,294,349,55
181,20,0,294,349,55
188,33,0,296,349,53
190,2,0,315,349,34
142,19,3,224,349,125
147,6,3,245,349,104
148,8,3,245,349,104
174,31,3,280,349,69
182,22,3,294,349,55
183,24,3,294,349,55
187,25,3,296,349,53
197,27,3,315,349,34
170,18,1,280,384,104
177,4,1,294,384,90
185,13,1,296,384,88
196,16,1,315,384,69
198,2,1,350,384,34
200,7,1,350,384,34
202,19,1,350,384,34
206,25,1,350,384,34
166,26,2,259,384,125
171,21,2,280,384,104
172,23,2,280,384,104
176,1,2,294,384,90
184,0,2,296,384,88
192,5,2,315,384,69
193,9,2,315,384,69
210,30,2,350,384,34
169,14,4,280,384,104
179,11,4,294,384,90
180,12,4,294,384,90
186,17,4,296,384,88
189,34,4,296,384,88
191,3,4,315,384,69
204,22,4,350,384,34
208,28,4,350,384,34
223,12,1,385,399,14
238,12,1,400,405,5
194,10,0,315,419,104
195,15,0,315,419,104
199,6,0,350,419,69
207,27,0,350,419,69
209,29,0,350,419,69
213,33,0,350,419,69
215,1,0,385,419,34
229,19,0,385,419,34
201,8,3,350,419,69
203,20,3,350,419,69
205,24,3,350,419,69
217,3,3,385,419,34
219,5,3,385,419,34
222,11,3,385,419,34
227,17,3,385,419,34
228,18,3,385,419,34
211,31,4,350,419,69
212,32,4,350,419,69
214,0,4,385,419,34
216,2,4,385,419,34
221,9,4,385,419,34
224,13,4,385,419,34
225,14,4,385,419,34
226,16,4,385,419,34
236,30,0,385,454,69
237,34,0,385,454,69
240,0,0,420,454,34
242,2,0,420,454,34
245,6,0,420,454,34
246,8,0,420,454,34
248,10,0,420,454,34
260,29,0,420,454,34
218,4,2,385,454,69
220,7,2,385,454,69
230,21,2,385,454,69
231,22,2,385,454,69
233,25,2,385,454,69
