task_id,user_id,server_id,generation_time,completion_time,latency
3,4,3,0,34,34
4,5,3,0,34,34
17,18,3,0,34,34
20,21,3,0,34,34
21,22,3,0,34,34
25,27,3,0,34,34
26,28,3,0,34,34
29,34,3,0,34,34
0,0,2,0,35,35
5,6,2,0,35,35
15,16,2,0,35,35
18,19,2,0,35,35
19,20,2,0,35,35
22,23,2,0,35,35
30,3,2,1,35,34
33,30,2,1,35,34
8,9,0,0,69,69
9,10,0,0,69,69
10,11,0,0,69,69
16,17,0,0,69,69
27,31,0,0,69,69
28,33,0,0,69,69
31,24,0,1,69,68
39,22,0,35,69,34
1,1,4,0,69,69
7,8,4,0,69,69
23,25,4,0,69,69
24,26,4,0,69,69
36,5,4,35,69,34
37,18,4,35,69,34
38,21,4,35,69,34
42,34,4,35,69,34
41,28,0,35,104,69
44,0,0,38,104,66
50,3,0,41,104,63
51,1,0,70,104,34
53,8,0,70,104,34
55,10,0,70,104,34
59,21,0,70,104,34
63,26,0,70,104,34
2,2,1,0,104,104
6,7,1,0,104,104
11,12,1,0,104,104
12,13,1,0,104,104
13,14,1,0,104,104
14,15,1,0,104,104
65,33,1,70,104,34
66,34,1,70,104,34
32,29,3,1,104,103
34,32,3,1,104,103
40,27,3,35,104,69
45,20,3,38,104,66
46,6,3,39,104,65
49,23,3,40,104,64
56,11,3,70,104,34
61,24,3,70,104,34
35,4,2,35,139,104
47,16,2,39,139,100
48,30,2,39,139,100
54,9,2,70,139,69
57,17,2,70,139,69
62,25,2,70,139,69
70,3,2,105,139,34
71,6,2,105,139,34
64,31,0,70,174,104
67,0,0,105,174,69
79,15,0,105,174,69
89,33,0,105,174,69
90,34,0,105,174,69
92,4,0,140,174,34
93,6,0,140,174,34
97,25,0,140,174,34
43,19,4,37,174,137
52,5,4,70,174,104
58,18,4,70,174,104
60,22,4,70,174,104
68,1,4,105,174,69
69,2,4,105,174,69
78,14,4,105,174,69
91,3,4,140,174,34
107,15,4,175,207,32
111,25,4,175,207,32
73,8,2,105,209,104
74,10,2,105,209,104
75,11,2,105,209,104
80,20,2,105,209,104
86,28,2,105,209,104
87,29,2,105,209,104
88,32,2,105,209,104
99,0,2,175,209,34
72,7,3,105,209,104
77,13,3,105,209,104
83,24,3,105,209,104
84,26,3,105,209,104
85,27,3,105,209,104
95,16,3,140,209,69
100,1,3,175,209,34
101,2,3,175,209,34
117,0,4,210,236,26
123,11,4,210,236,26
131,29,4,210,236,26
104,5,0,175,244,69
105,6,0,175,244,69
106,14,0,175,244,69
110,22,0,175,244,69
112,31,0,175,244,69
113,33,0,175,244,69
115,15,0,208,244,36
118,1,0,210,244,34
76,12,1,105,244,139
81,21,1,105,244,139
82,23,1,105,244,139
94,9,1,140,244,104
96,17,1,140,244,104
98,30,1,140,244,104
119,2,1,210,244,34
121,8,1,210,244,34
102,3,2,175,272,97
108,18,2,175,272,97
109,19,2,175,272,97
116,25,2,208,272,64
128,26,2,210,272,62
134,11,2,237,272,35
122,10,0,210,279,69
124,13,0,210,279,69
126,20,0,210,279,69
127,24,0,210,279,69
130,28,0,210,279,69
141,9,0,245,279,34
143,14,0,245,279,34
147,23,0,245,279,34
103,4,3,175,279,104
114,34,3,175,279,104
120,7,3,210,279,69
125,16,3,210,279,69
129,27,3,210,279,69
136,1,3,245,279,34
137,2,3,245,279,34
139,6,3,245,279,34
148,30,2,245,284,39
155,19,2,273,284,11
132,32,1,210,307,97
140,8,1,245,307,62
144,15,1,245,307,62
146,22,1,245,307,62
149,31,1,245,307,62
151,21,1,266,307,41
153,11,1,273,307,34
156,25,1,273,307,34
152,3,0,273,314,41
158,1,0,280,314,34
159,2,0,280,314,34
167,16,0,280,314,34
168,20,0,280,314,34
169,23,0,280,314,34
170,24,0,280,314,34
171,27,0,280,314,34
133,0,4,237,342,105
135,29,4,237,342,105
138,5,4,245,342,97
142,12,4,245,342,97
150,33,4,245,342,97
157,26,4,273,342,69
164,10,4,280,342,62
176,8,4,308,342,34
177,11,0,308,377,69
178,15,0,308,377,69
180,22,0,308,377,69
186,16,0,315,377,62
187,20,0,315,377,62
188,23,0,315,377,62
191,3,0,316,377,61
192,0,0,343,377,34
160,4,2,280,377,97
161,6,2,280,377,97
162,7,2,280,377,97
166,14,2,280,377,97
172,28,2,280,377,97
173,34,2,280,377,97
174,30,2,285,377,92
196,12,2,343,377,34
145,17,3,245,377,132
154,18,3,273,377,104
163,9,3,280,377,97
165,13,3,280,377,97
175,19,3,286,377,91
179,21,3,308,377,69
184,1,3,315,377,62
194,8,3,343,377,34
195,10,0,343,412,69
199,33,0,343,412,69
201,1,0,378,412,34
202,3,0,378,412,34
204,6,0,378,412,34
210,13,0,378,412,34
216,19,0,378,412,34
217,20,0,378,412,34
181,25,1,308,412,104
182,31,1,308,412,104
