task_id,user_id,server_id,generation_time,completion_time,latency
12,18,1,0,14,14
16,24,1,0,14,14
10,14,2,0,21,21
14,22,2,0,21,21
17,25,2,0,21,21
34,21,1,13,32,19
36,24,1,15,32,17
1,2,3,0,34,34
3,5,3,0,34,34
5,8,3,0,34,34
8,11,3,0,34,34
11,16,3,0,34,34
15,23,3,0,34,34
20,30,3,0,34,34
24,34,3,0,34,34
0,0,4,0,34,34
2,4,4,0,34,34
6,9,4,0,34,34
7,10,4,0,34,34
13,19,4,0,34,34
18,27,4,0,34,34
19,29,4,0,34,34
21,31,4,0,34,34
4,7,0,0,35,35
9,12,0,0,35,35
22,32,0,0,35,35
25,1,0,1,35,34
27,6,0,1,35,34
28,13,0,1,35,34
30,17,0,1,35,34
33,28,0,1,35,34
35,18,2,15,41,26
37,14,2,22,41,19
38,22,2,22,41,19
39,25,2,22,41,19
26,3,3,1,69,68
29,15,3,1,69,68
31,20,3,1,69,68
32,26,3,1,69,68
47,9,3,35,69,34
48,10,3,35,69,34
52,23,3,35,69,34
54,30,3,35,69,34
40,21,0,33,70,37
41,24,0,33,70,37
46,8,0,35,70,35
50,16,0,35,70,35
56,34,0,35,70,35
57,1,0,36,70,34
58,6,0,36,70,34
63,27,0,36,70,34
51,19,2,35,78,43
59,7,2,36,78,42
60,12,2,36,78,42
65,32,2,36,78,42
66,14,2,42,78,36
23,33,4,0,82,82
42,0,4,35,82,47
43,2,4,35,82,47
44,4,4,35,82,47
55,31,4,35,82,47
68,22,4,42,82,40
45,5,1,35,86,51
49,11,1,35,86,51
53,29,1,35,86,51
61,13,1,36,86,50
62,17,1,36,86,50
67,18,1,42,86,44
69,25,1,42,86,44
64,28,0,36,88,52
75,26,0,70,88,18
76,30,0,70,88,18
85,34,0,71,88,17
73,15,2,70,89,19
83,24,2,71,89,18
98,11,2,87,107,20
99,13,2,87,107,20
100,17,2,87,107,20
101,18,2,87,107,20
82,21,1,71,111,40
91,0,1,83,111,28
92,2,1,83,111,28
108,15,1,90,111,21
74,23,3,70,114,44
79,8,3,71,114,43
80,16,3,71,114,43
81,20,3,71,114,43
84,27,3,71,114,43
90,32,3,79,114,35
110,13,2,108,117,9
113,11,2,109,117,8
87,12,0,79,123,44
88,14,0,79,123,44
89,19,0,79,123,44
93,4,0,83,123,40
94,22,0,83,123,40
95,31,0,83,123,40
97,5,0,87,123,36
102,25,0,87,123,36
118,8,2,115,123,8
70,3,4,70,123,53
71,9,4,70,123,53
72,10,4,70,123,53
77,1,4,71,123,52
78,6,4,71,123,52
86,7,4,79,123,44
96,33,4,83,123,40
106,30,4,89,123,34
114,0,1,112,124,12
117,21,1,112,124,12
103,29,0,87,158,71
104,26,0,89,158,69
