task_id,user_id,server_id,generation_time,completion_time,latency
1,2,2,0,34,34
3,5,2,0,34,34
4,6,2,0,34,34
7,9,2,0,34,34
8,10,2,0,34,34
19,23,2,0,34,34
27,31,2,0,34,34
30,34,2,0,34,34
2,3,3,0,34,34
5,7,3,0,34,34
16,20,3,0,34,34
18,22,3,0,34,34
22,26,3,0,34,34
23,27,3,0,34,34
24,28,3,0,34,34
29,33,3,0,34,34
6,8,0,0,35,35
11,15,0,0,35,35
17,21,0,0,35,35
21,25,0,0,35,35
25,29,0,0,35,35
26,30,0,0,35,35
28,32,0,0,35,35
31,1,0,1,35,34
0,0,1,0,69,69
13,17,1,0,69,69
14,18,1,0,69,69
15,19,1,0,69,69
33,11,1,1,69,68
42,20,1,35,69,34
46,27,1,35,69,34
50,34,1,35,69,34
9,12,4,0,70,70
10,14,4,0,70,70
12,16,4,0,70,70
20,24,4,0,70,70
32,4,4,1,70,69
45,26,4,35,70,35
49,33,4,35,70,35
51,1,4,36,70,34
55,25,1,36,99,63
68,4,1,71,99,28
35,2,2,35,104,69
38,6,2,35,104,69
43,22,2,35,104,69
53,15,2,36,104,68
54,21,2,36,104,68
57,30,2,36,104,68
61,17,2,70,104,34
64,20,2,70,104,34
34,13,0,1,105,104
36,3,0,35,105,70
37,5,0,35,105,70
39,7,0,35,105,70
41,10,0,35,105,70
48,31,0,35,105,70
63,19,0,70,105,35
67,1,0,71,105,34
90,13,1,106,122,16
56,29,4,36,134,98
58,32,4,36,134,98
59,0,4,70,134,64
60,11,4,70,134,64
62,18,4,70,134,64
66,34,4,70,134,64
74,33,4,71,134,63
75,4,4,100,134,34
93,13,1,123,138,15
40,9,3,35,139,104
44,23,3,35,139,104
47,28,3,35,139,104
52,8,3,36,139,103
70,14,3,71,139,68
78,6,3,105,139,34
79,15,3,105,139,34
83,22,3,105,139,34
98,29,1,135,150,15
106,15,1,140,150,10
89,10,3,106,157,51
103,6,3,140,157,17
105,14,3,140,157,17
71,16,0,71,169,98
73,26,0,71,169,98
80,17,0,105,169,64
85,1,0,106,169,63
86,3,0,106,169,63
87,5,0,106,169,63
92,19,0,107,169,62
95,4,0,135,169,34
65,27,2,70,169,99
