task_id,user_id,server_id,generation_time,completion_time,latency
0,0,0,0,34,34
1,1,0,0,34,34
8,9,0,0,34,34
9,11,0,0,34,34
10,12,0,0,34,34
11,14,0,0,34,34
13,16,0,0,34,34
14,18,0,0,34,34
2,2,2,0,35,35
17,22,2,0,35,35
18,23,2,0,35,35
30,20,2,1,35,34
32,25,2,1,35,34
6,6,4,0,35,35
12,15,4,0,35,35
20,27,4,0,35,35
22,30,4,0,35,35
23,31,4,0,35,35
28,13,4,1,35,34
29,17,4,1,35,34
33,29,4,1,35,34
3,3,3,0,36,36
4,4,3,0,36,36
5,5,3,0,36,36
24,33,3,0,36,36
25,34,3,0,36,36
7,7,1,0,38,38
15,19,1,0,38,38
19,26,1,0,38,38
21,28,1,0,38,38
27,10,1,1,38,37
31,24,1,1,38,37
39,12,2,35,44,9
42,18,2,35,44,9
62,10,2,39,50,11
41,16,1,35,57,22
47,17,1,36,57,21
48,20,1,36,57,21
50,23,1,36,57,21
61,7,3,39,57,18
64,24,3,39,57,18
65,26,3,39,57,18
66,28,3,39,57,18
16,21,0,0,70,70
26,8,0,1,70,69
35,0,0,35,70,35
36,1,0,35,70,35
44,6,0,36,70,34
45,13,0,36,70,34
46,15,0,36,70,34
49,22,0,36,70,34
34,32,4,1,71,70
37,9,4,35,71,36
38,11,4,35,71,36
40,14,4,35,71,36
43,2,4,36,71,35
53,29,4,36,71,35
54,30,4,36,71,35
56,3,4,37,71,34
71,16,2,58,76,18
73,20,2,58,76,18
77,28,2,58,76,18
84,21,2,71,81,10
83,15,3,71,84,13
87,3,3,72,84,12
95,28,2,79,88,9
68,18,1,45,95,50
69,10,1,51,95,44
70,7,1,58,95,37
74,23,1,58,95,37
76,26,1,58,95,37
98,3,2,85,99,14
100,28,2,89,99,10
103,18,2,96,104,8
94,20,3,78,104,26
96,16,3,81,104,23
97,21,3,82,104,22
51,25,0,36,105,69
52,27,0,36,105,69
55,31,0,36,105,69
58,5,0,37,105,68
60,34,0,37,105,68
67,12,0,45,105,60
72,17,0,58,105,47
75,24,0,58,105,47
57,4,4,37,106,69
59,33,4,37,106,69
63,19,4,39,106,67
78,0,4,71,106,35
80,6,4,71,106,35
85,22,4,71,106,35
86,2,4,72,106,34
89,11,4,72,106,34
102,10,3,96,122,26
106,3,3,100,122,22
107,28,3,100,122,22
82,13,1,71,131,60
88,9,1,72,131,59
90,14,1,72,131,59
93,32,1,72,131,59
104,23,1,96,131,35
79,1,0,71,140,69
81,8,0,71,140,69
91,29,0,72,140,68
92,30,0,72,140,68
99,15,0,85,140,55
101,7,0,96,140,44
105,26,0,96,140,44
117,27,0,106,140,34
109,18,2,105,141,36
111,21,2,105,141,36
112,5,2,106,141,35
113,12,2,106,141,35
114,17,2,106,141,35
115,24,2,106,141,35
116,25,2,106,141,35
121,2,2,107,141,34
125,19,3,107,142,35
129,10,3,123,142,19
130,28,3,123,142,19
108,16,4,105,146,41
110,20,4,105,146,41
119,34,4,106,146,40
120,0,4,107,146,39
122,4,4,107,146,39
123,6,4,107,146,39
126,22,4,107,146,39
145,5,3,142,152,10
152,19,3,143,152,9
158,16,3,147,161,14
162,5,3,153,161,8
118,31,1,106,166,60
124,11,1,107,166,59
127,33,1,107,166,59
128,3,1,123,166,43
135,32,1,132,166,34
163,19,3,154,171,17
165,16,3,162,171,9
132,13,0,132,175,43
134,23,0,132,175,43
136,1,0,141,175,34
139,15,0,141,175,34
141,27,0,141,175,34
133,14,2,132,181,49
137,7,2,141,181,40
142,29,2,141,181,40
144,2,2,142,181,39
147,17,2,142,181,39
153,25,2,143,181,38
154,28,2,143,181,38
157,6,2,147,181,34
131,9,4,132,183,51
140,26,4,141,183,42
143,30,4,141,183,42
146,12,4,142,183,41
150,24,4,142,183,41
155,0,4,147,183,36
156,4,4,147,183,36
174,13,3,176,196,20
175,15,3,176,196,20
176,23,3,176,196,20
179,6,3,182,201,19
138,8,1,141,203,62
148,18,1,142,203,61
149,21,1,142,203,61
151,10,1,143,203,60
167,11,1,167,203,36
196,6,3,202,207,5
164,5,0,162,216,54
166,3,0,167,216,49
169,32,0,167,216,49
171,19,0,172,216,44
172,16,0,173,216,43
173,1,0,176,216,40
180,7,0,182,216,34
