task_id,user_id,server_id,generation_time,completion_time,latency
2,4,0,0,34,34
13,15,0,0,34,34
16,18,0,0,34,34
19,21,0,0,34,34
21,23,0,0,34,34
22,24,0,0,34,34
25,29,0,0,34,34
26,30,0,0,34,34
0,0,3,0,34,34
1,1,3,0,34,34
3,5,3,0,34,34
9,11,3,0,34,34
10,12,3,0,34,34
14,16,3,0,34,34
15,17,3,0,34,34
23,27,3,0,34,34
4,6,1,0,35,35
20,22,1,0,35,35
28,34,1,0,35,35
33,41,1,0,35,35
37,25,1,1,35,34
38,31,1,1,35,34
6,8,2,0,48,48
7,9,2,0,48,48
11,13,2,0,48,48
12,14,2,0,48,48
18,20,2,0,48,48
31,37,2,0,48,48
35,43,2,0,48,48
44,3,2,14,48,34
5,7,4,0,61,61
8,10,4,0,61,61
17,19,4,0,61,61
24,28,4,0,61,61
29,35,4,0,61,61
34,42,0,0,69,69
36,44,0,0,69,69
39,39,0,1,69,68
41,32,0,12,69,57
42,26,0,13,69,56
46,1,0,35,69,34
49,11,0,35,69,34
50,12,0,35,69,34
27,33,3,0,69,69
30,36,3,0,69,69
32,38,3,0,69,69
40,40,3,11,69,58
43,2,3,14,69,55
45,0,3,35,69,34
48,5,3,35,69,34
57,24,3,35,69,34
54,18,1,35,83,48
56,23,1,35,83,48
59,29,1,35,83,48
61,25,1,42,83,41
62,41,1,43,83,40
65,31,1,45,83,38
71,14,1,49,83,34
73,37,1,49,83,34
47,4,4,35,96,61
53,17,4,35,96,61
58,27,4,35,96,61
60,30,4,35,96,61
63,6,4,45,96,51
68,8,4,49,96,47
76,10,4,62,96,34
77,19,4,62,96,34
52,16,2,35,104,69
55,21,2,35,104,69
69,9,2,49,104,55
70,13,2,49,104,55
72,20,2,49,104,55
74,43,2,49,104,55
80,0,2,70,104,34
87,26,2,70,104,34
51,15,0,35,106,71
66,34,0,45,106,61
67,3,0,49,106,57
85,12,0,70,106,36
89,33,0,70,106,36
99,25,0,84,117,33
117,21,0,105,117,12
64,22,3,45,118,73
75,7,3,62,118,56
79,35,3,62,118,56
81,1,3,70,118,48
84,11,3,70,118,48
86,24,3,70,118,48
88,32,3,70,118,48
96,14,3,84,118,34
120,33,0,118,128,10
82,2,1,70,139,69
92,39,1,70,139,69
97,18,1,84,139,55
102,37,1,84,139,55
107,10,1,97,139,42
108,17,1,97,139,42
111,30,1,97,139,42
112,0,1,105,139,34
90,36,2,70,139,69
91,38,2,70,139,69
93,40,2,70,139,69
95,44,2,70,139,69
104,4,2,97,139,42
106,8,2,97,139,42
110,27,2,97,139,42
116,20,2,105,139,34
78,28,4,62,139,77
83,5,4,70,139,69
94,42,4,70,139,69
100,29,4,84,139,55
105,6,4,97,139,42
113,9,4,105,139,34
114,13,4,105,139,34
115,16,4,105,139,34
98,23,3,84,156,72
101,31,3,84,156,72
103,41,3,84,156,72
109,19,3,97,156,59
118,26,3,105,156,51
121,1,3,119,156,37
122,25,3,119,156,37
128,7,3,122,156,34
124,32,2,120,174,54
125,14,2,121,174,53
130,12,2,122,174,52
135,22,2,131,174,43
144,13,2,140,174,34
147,20,2,140,174,34
149,28,2,140,174,34
151,30,2,140,174,34
119,43,4,105,174,69
123,24,4,120,174,54
127,3,4,122,174,52
129,11,4,122,174,52
131,21,4,122,174,52
133,35,4,122,174,52
142,9,4,140,174,34
150,29,4,140,174,34
126,15,1,121,177,56
137,2,1,140,177,37
138,4,1,140,177,37
139,5,1,140,177,37
141,8,1,140,177,37
148,27,1,140,177,37
155,39,1,140,177,37
159,18,1,143,177,34
132,34,3,122,192,70
134,33,3,130,192,62
146,17,3,140,192,52
156,40,3,140,192,52
162,23,3,157,192,35
163,25,3,157,192,35
166,31,3,158,192,34
167,41,3,158,192,34
154,38,2,140,209,69
157,42,2,140,209,69
158,44,2,140,209,69
160,1,2,157,209,52
164,26,2,157,209,52
170,11,2,175,209,34
171,12,2,175,209,34
178,28,2,175,209,34
152,36,4,140,209,69
153,37,4,140,209,69
169,9,4,175,209,34
172,13,4,175,209,34
177,24,4,175,209,34
180,30,4,175,209,34
181,32,4,175,209,34
183,43,4,175,209,34
161,19,1,157,213,56
168,3,1,175,213,38
174,20,1,175,213,38
176,22,1,175,213,38
179,29,1,175,213,38
182,35,1,175,213,38
186,8,1,179,213,34
187,18,1,179,213,34
136,0,0,140,227,87
140,6,0,140,227,87
143,10,0,140,227,87
145,16,0,140,227,87
165,7,0,158,227,69
173,14,0,175,227,52
175,21,0,175,227,52
194,25,0,193,227,34
203,12,2,210,231,21
208,30,2,210,231,21
209,32,2,210,231,21
219,19,2,214,231,17
184,2,3,179,244,65
191,15,3,192,244,52
192,17,3,193,244,51
197,34,3,193,244,51
199,40,3,195,244,49
204,13,3,210,244,34
206,26,3,210,244,34
207,28,3,210,244,34
196,33,0,193,246,53
202,11,0,210,246,36
225,6,0,228,246,18
188,27,1,179,248,69
198,41,1,193,248,55
200,1,1,210,248,38
201,9,1,210,248,38
205,24,1,210,248,38
212,38,1,210,248,38
214,43,1,210,248,38
215,44,1,210,248,38
185,4,4,179,262,83
189,39,4,189,262,73
190,5,4,191,262,71
193,23,4,193,262,69
195,31,4,193,262,69
210,36,4,210,262,52
220,20,4,214,262,48
231,25,4,228,262,34
242,34,4,245,271,26
249,24,4,249,271,22
255,24,4,272,277,5
216,3,1,214,283,69
217,8,1,214,283,69
218,18,1,214,283,69
221,22,1,214,283,69
222,29,1,214,283,69
223,35,1,214,283,69
228,14,1,228,283,55
230,21,1,228,283,55
224,0,2,228,283,55
227,10,2,228,283,55
236,2,2,245,283,38
237,13,2,245,283,38
238,15,2,245,283,38
240,26,2,245,283,38
245,11,2,247,283,36
248,9,2,249,283,34
211,37,3,210,283,73
213,42,3,210,283,73
226,7,3,228,283,55
229,16,3,228,283,55
234,19,3,236,283,47
243,40,3,245,283,38
247,1,3,249,283,34
254,44,3,249,283,34
265,24,4,278,285,7
232,12,0,234,296,62
233,30,0,234,296,62
235,32,0,236,296,60
239,17,0,245,296,51
246,33,0,247,296,49
251,38,0,249,296,47
241,28,1,245,318,73
244,6,1,247,318,71
250,27,1,249,318,69
252,41,1,249,318,69
262,5,1,274,318,44
270,7,1,284,318,34
271,8,1,284,318,34
273,10,1,284,318,34
256,25,3,272,318,46
261,4,3,274,318,44
263,39,3,274,318,44
264,31,3,275,318,43
268,2,3,284,318,34
269,3,3,284,318,34
274,11,3,284,318,34
277,15,3,284,318,34
267,1,4,284,327,43
279,18,4,284,327,43
282,22,4,284,327,43
283,26,4,284,327,43
285,35,4,284,327,43
286,40,4,284,327,43
253,43,2,249,333,84
258,20,2,273,333,60
259,23,2,273,333,60
266,0,2,284,333,49
272,9,2,284,333,49
275,13,2,284,333,49
287,42,2,284,333,49
292,33,2,299,333,34
278,16,3,284,353,69
288,44,3,284,353,69
290,24,3,289,353,64
291,17,3,299,353,54
294,12,3,309,353,44
295,30,3,310,353,43
297,2,3,319,353,34
299,4,3,319,353,34
300,5,4,319,362,43
301,6,4,319,362,43
303,8,4,319,362,43
310,31,4,319,362,43
311,39,4,319,362,43
313,1,4,328,362,34
314,18,4,328,362,34
315,22,4,328,362,34
280,19,1,284,366,82
281,21,1,284,366,82
284,29,1,284,366,82
296,32,1,311,366,55
298,3,1,319,366,47
304,10,1,319,366,47
306,15,1,319,366,47
321,33,1,338,377,39
327,2,1,354,377,23
350,33,1,378,383,5
293,38,2,299,388,89
302,7,2,319,388,69
309,28,2,319,388,69
318,40,2,328,388,60
320,23,2,338,388,50
322,9,2,339,388,49
328,4,2,354,388,34
329,12,2,354,388,34
305,11,3,319,388,69
307,25,3,319,388,69
308,27,3,319,388,69
312,41,3,319,388,69
316,26,3,328,388,60
324,43,3,340,388,48
326,20,3,342,388,46
334,44,3,354,388,34
257,34,0,272,397,125
260,36,0,273,397,124
276,14,0,284,397,113
289,37,0,285,397,112
323,13,0,339,397,58
325,0,0,341,397,56
332,24,0,354,397,43
335,1,0,363,397,34
317,35,4,328,402,74
319,42,4,337,402,65
331,17,4,354,402,48
333,30,4,354,402,48
336,5,4,363,402,39
337,6,4,363,402,39
342,39,4,363,402,39
346,3,4,368,402,34
330,16,2,354,423,69
339,18,2,363,423,60
348,21,2,368,423,55
349,2,2,378,423,45
354,7,2,389,423,34
357,12,2,389,423,34
363,28,2,389,423,34
364,38,2,389,423,34
340,22,3,363,423,60
341,31,3,363,423,60
344,29,3,367,423,56
345,32,3,367,423,56
347,10,3,368,423,55
351,19,3,382,423,41
355,9,3,389,423,34
366,41,3,389,423,34
360,25,1,389,437,48
362,27,1,389,437,48
365,40,1,389,437,48
371,24,1,398,437,39
374,37,1,400,437,37
376,34,1,402,437,35
377,3,1,403,437,34
381,30,1,403,437,34
356,11,4,389,437,48
358,20,4,389,437,48
359,23,4,389,437,48
361,26,4,389,437,48
367,43,4,389,437,48
369,0,4,398,437,39
372,13,4,399,437,38
373,36,4,400,437,37
338,8,0,363,444,81
343,15,0,367,444,77
352,33,0,384,444,60
353,4,0,389,444,55
379,6,0,403,444,41
375,14,3,401,458,57
380,17,3,403,458,55
382,35,3,403,458,55
388,10,3,424,458,34
392,22,3,424,458,34
393,28,3,424,458,34
394,32,3,424,458,34
396,41,3,424,458,34
368,44,2,389,472,83
370,1,2,398,472,74
384,42,2,403,472,69
385,2,2,424,472,48
395,38,2,424,472,48
398,19,2,428,472,44
403,11,2,438,472,34
406,23,2,438,472,34
383,39,1,403,479,76
387,9,1,424,479,55
390,16,1,424,479,55
402,3,1,438,479,41
404,13,1,438,479,41
407,24,1,438,479,41
