task_id,user_id,server_id,generation_time,completion_time,latency
2,2,0,0,5,5
3,3,4,0,5,5
15,2,0,11,16,5
16,3,4,12,17,5
7,7,2,0,18,18
12,12,2,0,18,18
14,14,2,0,18,18
4,4,1,0,19,19
8,8,1,0,19,19
9,9,1,0,19,19
18,3,0,18,28,10
24,9,0,20,28,8
19,7,2,19,28,9
23,8,2,20,28,8
25,3,2,29,34,5
0,0,3,0,35,35
1,1,3,0,35,35
5,5,3,0,35,35
6,6,3,0,35,35
10,10,3,0,35,35
11,11,3,0,35,35
13,13,3,0,35,35
17,2,1,17,37,20
20,12,1,19,37,18
21,14,1,19,37,18
22,4,1,20,37,17
30,0,0,36,41,5
36,13,2,36,41,5
33,6,1,36,47,11
34,10,1,36,47,11
39,12,2,40,47,7
26,7,4,29,47,18
27,8,4,29,47,18
28,9,4,29,47,18
37,2,0,39,50,11
38,4,0,39,50,11
29,3,3,35,53,18
31,1,3,36,53,17
32,5,3,36,53,17
35,11,3,36,53,17
50,4,0,51,56,5
41,13,4,42,56,14
46,9,4,48,56,8
43,6,2,48,57,9
45,8,2,48,57,9
53,5,4,54,61,7
51,1,2,54,62,8
47,10,3,48,62,14
49,2,3,51,62,11
40,14,1,41,65,24
42,0,1,43,65,22
44,7,1,48,65,17
48,12,1,48,65,17
58,6,4,61,66,5
62,2,2,63,68,5
59,8,3,61,69,8
65,12,4,66,71,5
52,3,0,54,74,20
54,11,0,54,74,20
57,13,0,57,74,17
68,2,3,69,74,5
70,8,4,73,78,5
71,12,0,74,79,5
75,3,3,79,84,5
64,7,2,66,86,20
67,0,2,69,86,17
69,6,2,69,86,17
77,12,0,82,87,5
73,2,4,77,87,10
74,11,4,78,87,9
78,3,3,85,95,10
79,0,3,87,95,8
55,4,1,57,100,43
56,9,1,57,100,43
60,5,1,62,100,38
61,1,1,63,100,37
63,10,1,63,100,37
66,14,1,66,100,34
86,3,3,96,101,5
85,0,4,96,101,5
72,13,2,75,104,29
76,8,2,79,104,25
81,7,2,87,104,17
90,0,3,102,107,5
92,7,4,105,111,6
84,11,2,90,114,24
93,8,2,106,114,8
95,7,4,112,117,5
80,6,1,87,118,31
82,12,1,89,118,29
83,2,1,90,118,28
89,10,1,101,118,17
87,1,0,101,119,18
88,5,0,101,119,18
91,3,0,102,119,17
101,7,0,118,124,6
94,0,2,108,124,16
97,8,2,115,124,9
102,2,4,119,124,5
96,13,1,113,136,23
98,11,1,115,136,21
100,14,1,116,136,20
99,4,3,116,136,20
103,6,3,119,136,17
105,12,3,119,136,17
104,10,2,119,142,23
106,1,2,124,142,18
110,3,2,125,142,17
112,8,2,125,142,17
113,4,3,137,142,5
116,11,4,137,142,5
107,5,0,124,143,19
108,0,0,125,143,18
109,2,0,125,143,18
111,7,0,125,143,18
115,9,1,137,143,6
118,13,0,137,152,15
129,7,0,144,152,8
120,1,4,143,152,9
121,3,4,143,152,9
126,0,1,144,153,9
128,5,1,144,153,9
135,0,4,154,159,5
122,4,3,143,161,18
124,10,3,143,161,18
127,2,3,144,161,17
130,1,1,153,162,9
132,7,1,153,162,9
141,1,4,163,168,5
131,3,0,153,171,18
133,9,0,153,171,18
134,13,0,153,171,18
136,5,0,154,171,17
137,0,1,162,171,9
139,4,1,162,171,9
143,1,3,169,174,5
138,2,0,162,176,14
142,7,1,167,176,9
114,6,2,137,177,40
117,12,2,137,177,40
119,14,2,137,177,40
123,8,2,143,177,34
125,11,2,143,177,34
144,0,4,172,181,9
146,4,4,172,181,9
152,7,0,177,182,5
153,6,4,178,186,8
145,3,3,172,192,20
147,5,3,172,192,20
148,9,3,172,192,20
150,1,3,175,192,17
158,0,0,184,193,9
159,7,0,184,193,9
140,10,2,162,195,33
149,13,2,172,195,23
151,2,2,177,195,18
156,12,2,178,195,17
154,8,1,178,196,18
155,11,1,178,196,18
157,14,1,178,196,18
160,4,4,185,197,12
161,6,4,189,197,8
166,0,0,194,199,5
165,9,1,193,201,8
164,5,3,193,202,9
167,7,3,194,202,8
163,3,2,193,204,11
168,13,2,196,204,8
162,1,4,193,206,13
169,11,4,197,206,9
174,4,0,200,209,9
175,8,0,200,209,9
176,2,1,201,211,10
179,9,1,203,211,8
171,14,2,197,213,16
180,3,2,205,213,8
184,4,4,210,215,5
188,9,1,213,218,5
181,1,0,208,219,11
186,10,0,210,219,9
187,2,4,213,221,8
192,9,1,220,225,5
189,14,0,214,228,14
191,4,0,220,228,8
194,2,1,223,230,7
182,11,2,208,231,23
183,13,2,208,231,23
